NP_387882.1	BSU00010	dnaA
NP_390791.1	BSU29130	icd
NP_390792.1	BSU29140	citZ
NP_390793.1	BSU29150	ytwI
NP_390794.1	BSU29160	ytvI
NP_390795.1	BSU29170	ytzA
NP_390796.1	BSU29180	pyk
NP_390797.1	BSU29190	pfkA
NP_390798.1	BSU29200	accA
NP_390799.2	BSU29210	accD
NP_390800.1	BSU29220	maeB
NP_390801.1	BSU29230	dnaEC
YP_003097771.1	BSU29239	ytrH
NP_390802.3	BSU29240	ytrI
YP_003097772.1	BSU29249	ytzJ
NP_390803.1	BSU29250	nrnA
NP_390804.1	BSU29260	ytpI
NP_390805.1	BSU29270	ytoI
NP_390806.1	BSU29280	ytnM
NP_390807.1	BSU29290	sndA
NP_390808.1	BSU29300	ribR
NP_390809.1	BSU29310	cmoJ
NP_390810.1	BSU29320	cmoI
NP_390811.1	BSU29330	cmoO
NP_390812.1	BSU29340	tcyN
NP_390813.1	BSU29350	tcyM
NP_390814.1	BSU29360	tcyL
NP_390815.1	BSU29370	tcyK
NP_390816.1	BSU29380	tcyJ
NP_390817.1	BSU29390	snaA
NP_390818.1	BSU29400	ascR
NP_390819.2	BSU29410	ytkL
NP_390820.1	BSU29420	ytkK
NP_390821.3	BSU29430	ytzD
NP_390822.1	BSU29440	argH
NP_390823.1	BSU29450	argG
NP_390824.1	BSU29460	moaB
NP_390825.1	BSU29470	ackA
YP_009513997.1	BSU29479	NODATA
NP_390826.1	BSU29480	ytxK
NP_390827.1	BSU29490	tpx
NP_390828.1	BSU29500	gerW
NP_390829.1	BSU29510	ytfI
NP_390830.1	BSU29520	yteJ
NP_390831.1	BSU29530	sppA
NP_390832.1	BSU29540	ppnKB
NP_390833.1	BSU29550	ytcJ
NP_390834.2	BSU29560	ytcI
NP_390835.1	BSU29570	sspA
NP_390836.2	BSU29580	trmG
NP_390837.1	BSU29590	iscSB
NP_390838.1	BSU29600	braB
NP_390839.1	BSU29610	ezrA
NP_390840.1	BSU29620	hisK
NP_390841.1	BSU29630	refZ
NP_390842.2	BSU29640	msrC
NP_390843.1	BSU29650	dgcP
NP_390844.1	BSU29660	rpsD
NP_390845.1	BSU29670	tyrS
NP_390846.1	BSU29680	acsA
NP_390847.1	BSU29690	acuA
NP_390848.1	BSU29700	acuB
NP_390849.1	BSU29710	acuC
NP_390850.1	BSU29720	motS
NP_390851.1	BSU29730	motP
NP_390852.1	BSU29740	ccpA
NP_390853.1	BSU29750	aroX
NP_390854.1	BSU29760	brxJ
NP_390855.2	BSU29770	ytxH
NP_390856.2	BSU29780	ytxG
NP_390857.1	BSU29790	murC
NP_390859.2	BSU29805	sftA
NP_390860.1	BSU29820	ytpR
NP_390861.1	BSU29830	ytpQ
NP_390862.1	BSU29840	ytpP
YP_009513998.1	BSU29845	NODATA
NP_390863.1	BSU29850	ytoQ
NP_390864.1	BSU29860	ytoP
NP_390865.1	BSU29870	ytzB
NP_390866.1	BSU29880	maeC
NP_390867.1	BSU29890	ytnP
NP_390868.1	BSU29900	trmB
NP_390869.1	BSU29910	ytzH
NP_390870.2	BSU29920	ytmP
NP_390871.2	BSU29930	amyX
NP_390872.1	BSU29940	ytlR
NP_390873.1	BSU29950	ytlQ
NP_390874.1	BSU29960	ytlP
NP_390875.1	BSU29970	ytkP
NP_390876.1	BSU29980	ytjP
NP_390877.1	BSU29990	pbuO
NP_390878.1	BSU30000	ythQ
NP_390879.1	BSU30010	ythP
NP_390880.1	BSU30020	ytzE
NP_390882.2	BSU30035	rsuA
NP_390883.1	BSU30050	murJ
NP_390884.2	BSU30060	ytfP
NP_390885.1	BSU30070	opuD
NP_390886.1	BSU30080	yteV
NP_390887.1	BSU30090	rmgU
NP_390888.1	BSU30100	rmgT
NP_390889.2	BSU30110	rmgS
NP_390890.3	BSU30120	rmgQ
NP_390892.2	BSU30135	rmgP
NP_390893.1	BSU30150	rmgR
NP_390894.3	BSU30160	ytcQ
NP_390895.1	BSU30170	ytcP
NP_390896.2	BSU30180	ytbQ
NP_390897.1	BSU30190	bioI
NP_390898.1	BSU30200	bioB
NP_390899.1	BSU30210	bioD
NP_390900.1	BSU30220	bioFC
NP_390901.1	BSU30230	bioK
NP_390902.3	BSU30240	bioW
NP_390903.1	BSU30250	ytaP
NP_390904.1	BSU30260	msmR
NP_390905.1	BSU30270	msmE
NP_390906.1	BSU30280	msmF
NP_390907.1	BSU30290	msmG
NP_390908.1	BSU30300	melA
NP_390909.2	BSU30310	ytwF
NP_390910.1	BSU30320	leuS
NP_390911.3	BSU30330	ytvB
NP_390912.1	BSU30340	blrA
NP_390913.1	BSU30350	yttB
NP_390914.2	BSU30360	yttA
NP_390915.1	BSU30370	bceB
NP_390916.1	BSU30380	bceA
NP_390917.1	BSU30390	bceS
NP_390918.1	BSU30400	bceR
NP_390919.1	BSU30410	ytrF
NP_390920.1	BSU30420	ytrE
NP_390921.1	BSU30430	ytrD
NP_390922.1	BSU30440	ytrC
NP_390923.1	BSU30450	ytrB
NP_390924.1	BSU30460	ytrA
YP_009513999.1	BSU30466	NODATA
NP_390925.1	BSU30470	ytzC
NP_390926.1	BSU30480	ytqA
NP_390927.1	BSU30490	ytqB
NP_390928.1	BSU30500	tbcS
NP_390929.1	BSU30510	ytpA
NP_390930.1	BSU30520	ytoA
NP_390931.1	BSU30530	ytnA
NP_390932.1	BSU30540	asnB
NP_390933.1	BSU30550	metK
NP_390934.2	BSU30560	pckA
NP_390935.1	BSU30570	ytmB
NP_390936.1	BSU30580	ytmA
NP_390937.2	BSU30595	ytlA
NP_390939.1	BSU30610	ytlC
NP_390940.1	BSU30620	ytlD
NP_390941.1	BSU30630	rppG
NP_390942.1	BSU30640	ytkC
NP_390943.1	BSU30650	dps
YP_003097774.1	BSU30659	ytzI
NP_390944.1	BSU30660	ytkA
NP_390945.1	BSU30670	luxS
NP_390946.1	BSU30680	ytjA
NP_390947.1	BSU30690	ytiB
NP_390948.1	BSU30700	rpmEB
NP_390949.2	BSU30710	ythA
NP_390950.1	BSU30720	ythB
YP_003097775.1	BSU30739	ytzL
NP_390952.1	BSU30740	mntD
NP_390953.1	BSU30750	mntC
NP_390954.1	BSU30760	mntB
NP_390955.1	BSU30770	mntA
NP_390956.1	BSU30780	menC
NP_390957.1	BSU30790	menE
NP_390958.1	BSU30800	menB
NP_390959.1	BSU30810	menH
NP_390960.1	BSU30820	menD
NP_390961.1	BSU30830	menF
NP_390962.2	BSU30840	yteA
NP_390963.1	BSU30850	ytdA
NP_390964.1	BSU30860	ytcA
NP_390965.1	BSU30870	ytcB
NP_390966.1	BSU30880	ytcC
NP_390967.1	BSU30890	cotOO
NP_390968.1	BSU30900	cotS
NP_390969.1	BSU30910	cotSA
NP_390970.1	BSU30920	cotI
NP_390971.1	BSU30930	ytaB
NP_390972.1	BSU30940	glgP
NP_390973.1	BSU30950	glgA
NP_390974.1	BSU30960	glgD
NP_390975.1	BSU30970	glgC
NP_390976.1	BSU30980	glgB
NP_390977.1	BSU30990	thiT
NP_390978.1	BSU31000	yuaI
NP_390979.1	BSU31010	floT
NP_390980.1	BSU31020	nfeDB
NP_390981.1	BSU31030	yuaE
NP_390982.1	BSU31040	yuaD
NP_390983.2	BSU31050	gbsB
NP_390984.1	BSU31060	gbsA
NP_390985.1	BSU31070	gbsR
NP_390986.1	BSU31080	bslA
NP_390987.1	BSU31090	ktrA
NP_390988.1	BSU31100	ktrB
NP_390989.1	BSU31110	yubF
NP_390990.1	BSU31120	lytG
NP_390991.1	BSU31130	yubD
NP_390992.1	BSU31140	cdoA
NP_390993.1	BSU31150	uppP
NP_390994.1	BSU31160	yubA
NP_390995.1	BSU31170	iolU
NP_390996.1	BSU31180	rhaA
NP_390997.1	BSU31190	rhaM
NP_390998.1	BSU31200	rhaB
NP_390999.1	BSU31210	rhaR
NP_391000.1	BSU31220	rhaE
NP_391001.1	BSU31230	tlpB
NP_391002.2	BSU31240	mcpA
NP_391003.1	BSU31250	tlpA
NP_391004.2	BSU31260	mcpB
NP_391005.1	BSU31270	tgl
YP_003097776.1	BSU31279	yuzH
NP_391006.2	BSU31280	yugU
YP_009514000.1	BSU31289	NODATA
NP_391007.2	BSU31290	yugT
NP_391008.2	BSU31300	yugS
NP_391009.1	BSU31310	yugP
YP_003097777.1	BSU31319	yuzI
YP_003097778.1	BSU31321	mstX
NP_391010.3	BSU31322	kbfO
NP_391011.1	BSU31330	yugN
NP_391012.1	BSU31340	yugM
NP_391013.2	BSU31350	pgi
NP_391014.1	BSU31360	bdhK
NP_391015.1	BSU31370	bdhJ
NP_391016.1	BSU31380	yuzA
NP_391017.1	BSU31390	yugI
NP_391018.2	BSU31400	yugH
NP_391019.1	BSU31410	yugG
NP_391020.1	BSU31420	yugF
NP_391021.2	BSU31430	yugE
NP_391022.1	BSU31440	patB
NP_391023.2	BSU31450	kinB
NP_391024.1	BSU31460	kapB
NP_391025.1	BSU31470	kapD
NP_391026.2	BSU31480	yuxJ
NP_391027.2	BSU31490	pbpD
NP_391028.1	BSU31500	yuxK
NP_391029.2	BSU31510	yufK
NP_391030.1	BSU31520	maeL
NP_391031.1	BSU31530	maeM
NP_391032.2	BSU31540	nupN
NP_391033.1	BSU31550	nupO
NP_391034.1	BSU31560	nupP
NP_391035.1	BSU31570	nupQ
NP_391036.1	BSU31580	maeN
NP_391037.1	BSU31590	yufS
NP_391038.2	BSU31600	mrpA
NP_391039.1	BSU31610	mrpB
NP_391040.2	BSU31620	mrpC
NP_391041.3	BSU31630	mrpD
YP_054591.2	BSU31640	mrpE
NP_391043.2	BSU31650	mrpF
NP_391044.1	BSU31660	mrpG
NP_391045.2	BSU31670	yuxO
NP_391046.1	BSU31680	comA
NP_391047.2	BSU31690	comP
NP_391048.1	BSU31700	comX
NP_391049.2	BSU31710	comQ
NP_391050.1	BSU31720	degQ
YP_009514001.1	BSU31725	NODATA
NP_391051.2	BSU31730	cotIC
NP_391052.1	BSU31740	pdeH
NP_391053.1	BSU31750	pncB
NP_391054.1	BSU31760	pncA
NP_391055.1	BSU31770	yueI
NP_391056.1	BSU31780	yueH
NP_391057.1	BSU31790	yueG
NP_391058.1	BSU31800	yueF
NP_391059.1	BSU31810	yuzE
NP_391060.1	BSU31820	yuzF
NP_391061.1	BSU31830	yueE
NP_391062.1	BSU31840	bznD
NP_391063.1	BSU31850	yueC
NP_391064.1	BSU31860	yueB
NP_391066.2	BSU31875	yukAB
NP_391067.1	BSU31890	yukC
NP_391068.1	BSU31900	yukD
NP_391069.2	BSU31910	yukE
NP_391070.2	BSU31920	adeR
NP_391071.1	BSU31930	ald
NP_391073.2	BSU31945	yukJ
YP_003097779.1	BSU31959	mbtH
NP_391076.3	BSU31960	dhbF
NP_391077.1	BSU31970	dhbB
NP_391078.1	BSU31980	dhbE
NP_391079.2	BSU31990	dhbC
NP_391080.2	BSU32000	dhbA
NP_391081.2	BSU32010	besA
NP_391082.1	BSU32020	yuiH
NP_391083.1	BSU32030	bioYB
NP_391084.1	BSU32040	hisP
NP_391085.1	BSU32050	pepA
NP_391086.1	BSU32060	yuiD
NP_391087.1	BSU32070	spsC
NP_391088.1	BSU32080	yuiB
NP_391089.1	BSU32090	yuiA
NP_391090.1	BSU32100	yumB
NP_391091.2	BSU32110	trxBB
NP_391092.1	BSU32120	yuzG
NP_391093.2	BSU32130	guaC
NP_391094.2	BSU32140	paiB
NP_391095.1	BSU32150	paiA
NP_391096.1	BSU32160	sufA
NP_391097.1	BSU32170	dapF
NP_391098.1	BSU32180	yutK
NP_391099.1	BSU32190	yuzB
NP_391100.2	BSU32200	yutJ
NP_391101.1	BSU32210	yuzD
NP_391102.1	BSU32220	yutI
NP_391103.2	BSU32230	yuxL
NP_391104.1	BSU32240	thrB
NP_391105.1	BSU32250	thrC
NP_391106.1	BSU32260	hom
NP_391107.1	BSU32270	cotNH
NP_391108.1	BSU32280	yutG
NP_391109.1	BSU32290	nucF
NP_391110.1	BSU32300	yutE
NP_391111.2	BSU32310	yutD
NP_391112.1	BSU32320	yutC
NP_391113.2	BSU32330	lipA
NP_391114.2	BSU32340	lytH
NP_391115.1	BSU32350	fisB
NP_391116.1	BSU32360	yunC
NP_391117.1	BSU32370	yunD
NP_391118.1	BSU32380	yunE
NP_391119.2	BSU32390	yunF
NP_391120.1	BSU32400	yunG
NP_391121.1	BSU32410	pucH
NP_391122.1	BSU32420	pucR
NP_391123.1	BSU32430	pucJ
NP_391124.1	BSU32440	pucK
NP_391125.1	BSU32450	pucL
NP_391126.2	BSU32460	pucM
YP_003097780.1	BSU32469	yuzJ
NP_391127.1	BSU32470	pucE
NP_391128.1	BSU32480	pucD
NP_391129.1	BSU32490	pucC
NP_391130.2	BSU32500	pucB
NP_391131.1	BSU32510	pucA
NP_391132.1	BSU32520	pucG
NP_391133.1	BSU32530	pucF
YP_009514002.1	BSU32539	NODATA
NP_391134.1	BSU32540	bsnA
NP_391135.1	BSU32550	frlP
NP_391136.3	BSU32560	frlR
NP_391137.1	BSU32570	frlD
NP_391138.1	BSU32580	frlM
NP_391139.1	BSU32590	frlN
NP_391140.1	BSU32600	frlO
NP_391141.1	BSU32610	frlB
NP_391142.1	BSU32620	yurQ
NP_391143.1	BSU32630	dadA
YP_054592.1	BSU32640	sspG
NP_391144.1	BSU32650	yurS
NP_391145.1	BSU32660	glxB
YP_003097781.1	BSU32669	yuzN
NP_391146.1	BSU32670	sufB
NP_391147.1	BSU32680	sufU
NP_391148.1	BSU32690	sufS
NP_391149.1	BSU32700	sufD
NP_391150.1	BSU32710	sufC
YP_003097782.1	BSU32719	yuzK
NP_391151.1	BSU32720	yurZ
NP_391152.1	BSU32730	metQ
NP_391153.1	BSU32740	metP
NP_391154.1	BSU32750	metN
NP_391155.1	BSU32760	yusD
NP_391156.1	BSU32770	yusE
NP_391157.1	BSU32780	yusF
NP_391158.1	BSU32790	yusG
NP_391159.1	BSU32800	gcvH
NP_391160.1	BSU32810	yusI
NP_391161.1	BSU32820	fadE
NP_391162.1	BSU32830	fadA
NP_391163.2	BSU32840	fadN
YP_003097783.1	BSU32849	yuzL
NP_391164.1	BSU32850	putM
YP_003097784.1	BSU32859	yuzM
NP_391165.1	BSU32860	yusN
NP_391166.1	BSU32870	mdtR
NP_391167.1	BSU32880	mdtP
NP_391168.1	BSU32890	yusQ
NP_391169.1	BSU32900	yusR
NP_391170.1	BSU32910	yusS
NP_391171.1	BSU32920	yusT
NP_391172.1	BSU32930	yusU
NP_391173.1	BSU32940	feuV
NP_391174.1	BSU32950	cotNW
NP_391177.1	BSU32980	yusZ
NP_391178.1	BSU32990	mrgA
NP_391180.2	BSU33000	htrB
NP_391181.1	BSU33010	cssR
NP_391182.2	BSU33020	cssS
YP_003097785.1	BSU33029	spxO
NP_391183.1	BSU33030	yuxN
NP_391184.1	BSU33040	fumC
YP_003097786.1	BSU33049	yvzF
NP_391185.2	BSU33050	gerAA
NP_391186.1	BSU33060	gerAB
NP_391187.1	BSU33070	gerAC
NP_391188.1	BSU33080	liaR
NP_391189.1	BSU33090	liaS
NP_391190.1	BSU33100	liaF
NP_391191.2	BSU33110	liaG
NP_391192.1	BSU33120	liaH
NP_391193.1	BSU33130	liaI
NP_391194.1	BSU33140	yvqJ
NP_391195.2	BSU33150	yvqK
NP_391196.1	BSU33160	yvrA
NP_391197.1	BSU33170	yvrB
NP_391198.1	BSU33180	yvrC
NP_391199.1	BSU33190	yvrD
NP_391200.1	BSU33200	yvrE
NP_391201.2	BSU33210	yvrG
NP_391202.2	BSU33221	yvrH
YP_003097787.1	BSU33222	rsoA
NP_391203.2	BSU33230	sigO
YP_003097788.1	BSU33239	yvrJ
NP_391204.1	BSU33240	oxdC
NP_391205.1	BSU33250	rsiO
NP_391207.3	BSU33260	yvrN
NP_391208.2	BSU33270	yvrO
NP_391209.1	BSU33280	yvrP
NP_391210.1	BSU33290	fhuC
NP_391211.1	BSU33300	fhuG
NP_391212.1	BSU33310	fhuB
NP_391213.1	BSU33320	fhuD
NP_391214.1	BSU33330	lysP
YP_054593.1	BSU33340	sspJ
NP_391215.1	BSU33350	yvsG
NP_391216.1	BSU33360	ltaSP
NP_391217.1	BSU33370	yvgK
NP_391218.1	BSU33380	modA
NP_391219.3	BSU33390	modB
NP_391220.1	BSU33400	pgoN
NP_391221.1	BSU33410	yvgO
NP_391222.1	BSU33420	nhaK
NP_391223.1	BSU33430	cysI
NP_391224.1	BSU33440	cysJ
NP_391225.1	BSU33450	helD
NP_391226.1	BSU33460	yvgT
NP_391227.1	BSU33470	bdbC
NP_391228.1	BSU33480	bdbD
NP_391229.3	BSU33490	cadA
NP_391230.2	BSU33500	copA
NP_391231.1	BSU33510	copZ
NP_391232.1	BSU33520	csoR
NP_391233.1	BSU33530	iolW
NP_391234.1	BSU33540	azoRB
NP_391235.1	BSU33550	yvaC
NP_391236.1	BSU33560	yvaD
NP_391237.1	BSU33570	yvaE
NP_391238.1	BSU33580	yvaF
NP_391239.1	BSU33590	yvaG
NP_391240.1	BSU33600	smpB
NP_391241.1	BSU33610	rnr
NP_391242.2	BSU33620	estA
NP_391243.1	BSU33630	secG
NP_391244.1	BSU33640	yvaM
NP_391245.1	BSU33650	yvzC
NP_391246.1	BSU33660	rghRA
NP_391247.1	BSU33670	rghRB
NP_391248.2	BSU33680	catR
NP_391249.1	BSU33690	yvaQ
NP_391250.1	BSU33700	opuBD
NP_391251.1	BSU33710	opuBC
NP_391252.1	BSU33720	opuBB
NP_391253.1	BSU33730	opuBA
NP_391254.2	BSU33740	yvaV
NP_391255.1	BSU33750	sdpA
NP_391256.1	BSU33760	sdpB
NP_391257.1	BSU33770	spbC
NP_391258.1	BSU33780	sdpI
NP_391259.1	BSU33790	sdpR
NP_391260.1	BSU33800	opuCD
NP_391261.1	BSU33810	opuCC
NP_391262.1	BSU33820	opuCB
NP_391263.1	BSU33830	opuCA
NP_391264.1	BSU33840	opcR
NP_391265.1	BSU33850	yvbG
NP_391266.1	BSU33860	yvbH
NP_391267.1	BSU33870	yvbI
NP_391268.1	BSU33880	yvbJ
NP_391269.1	BSU33890	yvbK
NP_391270.1	BSU33900	eno
NP_391271.1	BSU33910	pgm
NP_391272.1	BSU33920	tpiA
NP_391273.1	BSU33930	pgk
NP_391274.1	BSU33940	gapA
NP_391275.1	BSU33950	cggR
NP_391276.1	BSU33960	araE
NP_391277.2	BSU33970	araR
NP_391278.1	BSU33980	yvbT
NP_391279.1	BSU33990	yvbU
NP_391280.1	BSU34000	cyeB
NP_391281.1	BSU34010	yvbW
NP_391282.1	BSU34020	yvbX
NP_391283.1	BSU34030	lutC
NP_391284.1	BSU34040	lutB
NP_391285.1	BSU34050	lutA
NP_391286.1	BSU34060	yvfU
NP_391287.2	BSU34070	yvfT
NP_391288.1	BSU34080	yvfS
NP_391289.1	BSU34090	yvfR
NP_391290.1	BSU34100	rsbQ
NP_391291.1	BSU34110	rsbP
NP_391292.2	BSU34120	ganB
NP_391293.1	BSU34130	ganA
NP_391294.1	BSU34140	ganQ
NP_391295.1	BSU34150	ganP
NP_391296.1	BSU34160	ganS
NP_391297.1	BSU34170	ganR
NP_391298.2	BSU34180	lutR
NP_391299.1	BSU34190	lutP
NP_391300.1	BSU34200	sigL
NP_391301.1	BSU34210	yvfG
NP_391302.1	BSU34220	epsO
NP_391303.2	BSU34230	epsN
NP_391304.1	BSU34240	epsM
NP_391305.1	BSU34250	epsL
YP_003097789.1	BSU34265	epsK
NP_391308.1	BSU34280	epsJ
NP_391309.1	BSU34290	epsI
NP_391310.1	BSU34300	epsH
NP_391311.1	BSU34310	epsG
NP_391312.1	BSU34320	epsF
NP_391313.2	BSU34330	epsE
NP_391314.1	BSU34340	epsD
NP_391315.1	BSU34350	epsC
NP_391316.1	BSU34360	epsB
NP_391317.1	BSU34370	epsA
NP_391318.1	BSU34380	slrR
NP_391319.1	BSU34390	pnbA
YP_009514003.1	BSU34399	NODATA
NP_391320.1	BSU34400	padC
NP_391323.1	BSU34430	racX
NP_391324.1	BSU34440	pbpE
NP_391325.1	BSU34450	sacB
NP_391326.1	BSU34460	levB
NP_391327.1	BSU34470	aspP
NP_391328.2	BSU34480	yvdT
NP_391329.1	BSU34490	psmA
NP_391330.1	BSU34500	psmB
NP_391331.1	BSU34510	yvdQ
NP_391332.1	BSU34520	cotNP
NP_391333.1	BSU34530	cotR
NP_391334.1	BSU34540	clpP
NP_391335.1	BSU34550	mdxM
NP_391336.1	BSU34560	mdxL
NP_391337.1	BSU34570	mdxK
NP_391338.1	BSU34580	mdxJ
NP_391339.1	BSU34590	mdxG
NP_391340.1	BSU34600	mdxF
NP_391341.1	BSU34610	mdxE
NP_391342.1	BSU34620	mdxD
NP_391343.1	BSU34630	mdxR
NP_391344.1	BSU34640	yvdD
NP_391345.1	BSU34650	yvdC
NP_391346.1	BSU34660	yvdB
NP_391347.1	BSU34670	yvdA
NP_391348.1	BSU34680	yvcT
NP_391349.1	BSU34690	psdB
NP_391350.1	BSU34700	psdA
NP_391351.1	BSU34710	psdS
NP_391352.1	BSU34720	psdR
YP_003097790.1	BSU34729	yvzJ
NP_391353.1	BSU34730	yvcN
NP_391354.1	BSU34740	crh
NP_391355.1	BSU34750	whiA
NP_391356.2	BSU34760	mgfK
NP_391357.1	BSU34770	yvcJ
NP_391358.1	BSU34780	yvcI
NP_391359.1	BSU34790	trxB
NP_391360.1	BSU34800	cwlO
NP_391361.1	BSU34810	yvcD
NP_391362.1	BSU34820	bmrA
NP_391363.1	BSU34830	yvzA
NP_391364.1	BSU34840	yvcB
NP_391365.1	BSU34850	yvcA
NP_391366.1	BSU34860	hisIE
NP_391367.1	BSU34870	hisF
NP_391368.1	BSU34880	hisA
NP_391369.1	BSU34890	hisH
NP_391370.1	BSU34900	hisB
NP_391371.1	BSU34910	hisD
NP_391372.1	BSU34920	hisG
NP_391373.1	BSU34930	hisZ
NP_391374.1	BSU34940	yvpB
NP_391375.1	BSU34950	pelC
NP_391376.1	BSU34960	hprF
NP_391377.1	BSU34970	ppaX
NP_391378.1	BSU34980	yvoD
NP_391379.1	BSU34990	lgt
NP_391380.1	BSU35000	hprK
NP_391381.1	BSU35010	nagA
NP_391382.1	BSU35020	nagBA
NP_391383.1	BSU35030	nagR
NP_391384.1	BSU35040	yvnB
NP_391385.1	BSU35050	yvnA
NP_391386.1	BSU35060	cypX
NP_391387.1	BSU35070	pchC
NP_391388.1	BSU35080	pchR
NP_391389.1	BSU35090	pchE
NP_391390.1	BSU35100	yvlD
NP_391391.1	BSU35110	yvlC
NP_391392.1	BSU35120	yvlB
NP_391393.1	BSU35130	yvlA
NP_391394.1	BSU35140	yvkN
NP_391396.1	BSU35160	uvrA
NP_391397.1	BSU35170	uvrB
NP_391398.1	BSU35180	csbA
NP_391399.1	BSU35190	yvkC
NP_391400.1	BSU35200	yvkB
NP_391401.1	BSU35210	yvkA
NP_391402.1	BSU35220	minJ
NP_391404.1	BSU35240	ctpB
NP_391405.1	BSU35250	ftsX
NP_391406.1	BSU35260	ftsE
NP_391407.1	BSU35270	cccB
NP_391408.2	BSU35280	yvjA
NP_391409.1	BSU35290	prfB
NP_391410.1	BSU35300	secA
NP_391411.1	BSU35310	hpf
YP_003097791.1	BSU35319	yvzG
NP_391412.1	BSU35320	fliT
NP_391413.1	BSU35330	fliS
NP_391414.1	BSU35340	fliD
NP_391415.1	BSU35350	yvyC
NP_391416.1	BSU35360	hag
NP_391417.1	BSU35370	csrA
NP_391418.1	BSU35380	fliW
NP_391419.1	BSU35390	yviE
NP_391420.1	BSU35400	flgL
NP_391421.1	BSU35410	flgK
NP_391422.1	BSU35420	flgN
NP_391423.1	BSU35430	flgM
NP_391424.1	BSU35440	yvyF
NP_391425.2	BSU35450	comFC
NP_391426.1	BSU35460	comFB
NP_391427.1	BSU35470	comFA
NP_391428.1	BSU35480	fakBA
NP_391429.1	BSU35490	degU
NP_391430.1	BSU35500	degS
NP_391431.1	BSU35510	yvyE
NP_391432.1	BSU35520	tagV
NP_391433.1	BSU35530	tagO
NP_391434.1	BSU35540	tuaH
NP_391435.1	BSU35550	tuaG
NP_391436.1	BSU35560	tuaF
NP_391437.1	BSU35570	tuaE
NP_391438.1	BSU35580	tuaD
NP_391439.1	BSU35590	tuaC
NP_391440.1	BSU35600	tuaB
NP_391442.1	BSU35620	lytC
NP_391443.1	BSU35630	lytB
NP_391444.1	BSU35640	lytA
NP_391445.1	BSU35650	tagU
NP_391446.1	BSU35660	mnaA
NP_391447.1	BSU35670	gtaB
YP_009514004.1	BSU35678	NODATA
NP_391448.1	BSU35680	ggaB
NP_391451.1	BSU35700	tagH
NP_391452.1	BSU35710	tagG
NP_391453.1	BSU35720	tagF
NP_391454.1	BSU35730	tagE
NP_391455.1	BSU35740	tagD
NP_391456.1	BSU35750	tagA
NP_391457.1	BSU35760	tagB
NP_391458.1	BSU35770	tagC
NP_391459.1	BSU35780	lytD
NP_391460.1	BSU35790	pmiA
NP_391461.2	BSU35800	gerBA
NP_391462.2	BSU35810	gerBB
NP_391463.1	BSU35820	gerBC
NP_391464.2	BSU35830	ywtG
NP_391465.2	BSU35840	tagT
NP_391466.1	BSU35850	ribZB
NP_391467.1	BSU35860	pgdS
NP_391468.1	BSU35870	edmS
NP_391469.1	BSU35880	capA
NP_391470.1	BSU35890	capC
NP_391471.2	BSU35900	capB
NP_391472.1	BSU35910	rbsR
NP_391473.1	BSU35920	rbsK
NP_391474.1	BSU35930	rbsD
NP_391475.1	BSU35940	rbsA
NP_391476.1	BSU35950	rbsC
NP_391477.1	BSU35960	rbsB
NP_391478.1	BSU35970	ywsB
NP_391479.1	BSU35980	ywsA
NP_391480.1	BSU35990	ywrO
NP_391481.1	BSU36000	alsD
NP_391482.2	BSU36010	alsS
NP_391483.1	BSU36020	alsR
NP_391484.1	BSU36030	ywrK
NP_391485.1	BSU36040	ywrJ
NP_391486.1	BSU36050	cotB
NP_391487.1	BSU36060	cotH
NP_391488.1	BSU36070	cotG
YP_009514005.1	BSU36079	NODATA
NP_391489.1	BSU36080	ywrF
NP_391490.1	BSU36090	ywrE
NP_391491.1	BSU36100	hpxW
NP_391492.1	BSU36110	chrS
NP_391493.1	BSU36120	chrB
NP_391494.1	BSU36130	chrA
NP_391495.1	BSU36140	ywqO
NP_391496.1	BSU36150	ywqN
NP_391497.1	BSU36160	ywqM
NP_391498.2	BSU36170	nfi
NP_391499.1	BSU36180	rttO
NP_391500.1	BSU36190	rttN
NP_391501.1	BSU36200	ywqI
NP_391502.1	BSU36210	ywqH
YP_009514006.1	BSU36215	NODATA
NP_391503.1	BSU36220	ywqG
NP_391504.1	BSU36230	uglF
NP_391505.1	BSU36240	ptpZ
NP_391506.1	BSU36250	ptkA
NP_391507.1	BSU36260	tkmA
YP_003097792.1	BSU36269	ywzD
NP_391508.2	BSU36270	ywqB
NP_391509.1	BSU36280	hepA
NP_391510.1	BSU36290	ywpJ
NP_391511.1	BSU36300	glcR
NP_391512.2	BSU36310	ssbB
NP_391513.1	BSU36320	ywpG
NP_391514.1	BSU36330	ywpF
NP_391515.1	BSU36340	ywpE
NP_391516.1	BSU36350	ywpD
NP_391517.1	BSU36360	mscL
NP_391518.2	BSU36370	fabZ
NP_391519.1	BSU36380	rapD
NP_391520.2	BSU36390	flhP
NP_391521.1	BSU36400	flhO
NP_391522.2	BSU36410	mbl
NP_391523.1	BSU36420	spoIIID
NP_391524.1	BSU36430	usd
NP_391525.1	BSU36440	ywoH
NP_391526.1	BSU36450	ywoG
NP_391527.1	BSU36460	ywoF
NP_391528.1	BSU36470	pucI
NP_391529.1	BSU36480	ywoD
NP_391530.2	BSU36490	ywoC
NP_391531.1	BSU36500	ywoB
NP_391532.1	BSU36510	amtB
NP_391533.1	BSU36520	glnK
